MATRIX_SIZE,THREADS,BLOCK_SIZE,SERIAL_IKJ,PARALLEL_IKJ,SERIAL_TILED,PARALLEL_TILED,PARALLEL_TILED_TASKS
480,10,48,1.000000,6.264354,1.305268,8.431623,1.200674
480,10,96,1.000000,4.738946,0.922797,4.540122,0.943217
480,10,128,1.000000,3.548924,0.932371,3.184778,1.035659
640,10,48,1.000000,4.516942,0.951637,5.347475,0.602245
640,10,96,1.000000,6.152577,1.028345,6.724456,0.920630
640,10,128,1.000000,4.722480,0.947754,4.741710,0.994489
960,10,48,1.000000,6.557849,0.804065,5.223642,0.608987
960,10,96,1.000000,6.101404,0.857804,5.585457,0.907688
960,10,128,1.000000,6.815247,0.838401,5.279214,0.984973
1280,10,48,1.000000,5.858442,1.113033,7.005368,0.742401
1280,10,96,1.000000,4.497242,1.098932,6.087022,1.142400
1280,10,128,1.000000,5.513615,0.919472,6.522995,1.034665
1920,10,48,1.000000,5.785284,1.293705,9.556876,0.937633
1920,10,96,1.000000,5.161710,1.208783,8.297512,1.229788
1920,10,128,1.000000,4.442789,0.968002,5.551063,1.117075
